unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1599866160000,2020-09-11 23:16:00,BTC/USDT,10357.08,10357.08,10351.51,10354.56,27.65019,286266.8069964,422
1599866220000,2020-09-11 23:17:00,BTC/USDT,10354.56,10356.4,10349.09,10352.76,38.925288,402999.49979446,371
1599866280000,2020-09-11 23:18:00,BTC/USDT,10352.76,10354.89,10349.76,10352.93,23.040527,238531.22933695,459
1599866340000,2020-09-11 23:19:00,BTC/USDT,10352.94,10352.94,10349.46,10350.01,13.594982,140724.11220751,224
1599866400000,2020-09-11 23:20:00,BTC/USDT,10350.01,10351.86,10345.0,10346.55,28.726969,297288.26995204,577
1599866460000,2020-09-11 23:21:00,BTC/USDT,10346.54,10351.47,10346.54,10349.98,18.977379,196416.81817947,401
1599866520000,2020-09-11 23:22:00,BTC/USDT,10349.99,10351.0,10347.75,10351.0,26.87086,278115.02288336,302
1599866580000,2020-09-11 23:23:00,BTC/USDT,10351.0,10359.88,10350.99,10356.01,22.761806,235694.38287889,370
1599866640000,2020-09-11 23:24:00,BTC/USDT,10356.01,10375.89,10356.01,10371.49,56.535485,586125.78433947,610
1599866700000,2020-09-11 23:25:00,BTC/USDT,10371.49,10371.82,10357.33,10358.46,36.039076,373474.69417037,532
1599866760000,2020-09-11 23:26:00,BTC/USDT,10358.45,10362.01,10358.45,10360.02,11.065516,114646.18450664,226
1599866820000,2020-09-11 23:27:00,BTC/USDT,10360.2,10365.22,10360.2,10365.22,9.258174,95935.5773674,184
1599866880000,2020-09-11 23:28:00,BTC/USDT,10365.48,10371.99,10365.47,10366.11,26.955415,279476.54524021,435
1599866940000,2020-09-11 23:29:00,BTC/USDT,10366.11,10366.24,10357.37,10357.94,23.234824,240753.67980314,572
1599867000000,2020-09-11 23:30:00,BTC/USDT,10357.87,10364.96,10357.87,10361.92,17.538361,181758.57192455,340
1599867060000,2020-09-11 23:31:00,BTC/USDT,10361.92,10371.32,10361.92,10368.54,31.573637,327392.54047611,348
1599867120000,2020-09-11 23:32:00,BTC/USDT,10368.53,10378.82,10368.29,10377.06,45.865126,475658.77641484,338
1599867180000,2020-09-11 23:33:00,BTC/USDT,10377.06,10380.0,10377.05,10379.79,41.366432,429316.79089377,405
1599867240000,2020-09-11 23:34:00,BTC/USDT,10379.8,10384.46,10373.27,10377.41,28.725748,298206.25832684,499
1599867300000,2020-09-11 23:35:00,BTC/USDT,10377.41,10381.04,10372.56,10375.11,15.513428,160972.9169025,361
1599867360000,2020-09-11 23:36:00,BTC/USDT,10375.23,10377.03,10371.82,10372.06,21.448488,222522.30175787,418
1599867420000,2020-09-11 23:37:00,BTC/USDT,10372.07,10376.54,10372.07,10375.52,11.113148,115310.35023759,185
1599867480000,2020-09-11 23:38:00,BTC/USDT,10375.52,10377.91,10375.5,10377.84,11.906012,123542.81464997,233
1599867540000,2020-09-11 23:39:00,BTC/USDT,10377.91,10393.0,10377.91,10385.64,28.082461,291681.95645092,533
1599867600000,2020-09-11 23:40:00,BTC/USDT,10385.63,10385.63,10376.67,10376.78,25.296327,262584.44838841,541
1599867660000,2020-09-11 23:41:00,BTC/USDT,10376.77,10389.99,10375.34,10386.79,21.853227,226933.02076919,459
1599867720000,2020-09-11 23:42:00,BTC/USDT,10386.79,10389.99,10380.56,10383.44,16.543803,171820.54756006,405
